File,Hu_Moment_1,Hu_Moment_2,Hu_Moment_3,Hu_Moment_4,Hu_Moment_5,Hu_Moment_6,Hu_Moment_7,Perimeter,Diameter,Area,ASM_0,ASM_45,ASM_90,ASM_135,Contrast_0,Contrast_45,Contrast_90,Contrast_135,IDM_0,IDM_45,IDM_90,IDM_135,Entropy_0,Entropy_45,Entropy_90,Entropy_135,Correlation_0,Correlation_45,Correlation_90,Correlation_135,Jenis
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica54_vertical_270.jpg,0.18298499229156584,0.0073135794482654445,0.00020122745468260114,3.24641597176847e-05,2.6040925785697416e-09,2.7133544891558775e-06,3.219240176549648e-10,661.3107434511185,165.5509523385376,21525.5,0.3984737825638354,0.39601788803816135,0.40040250965959817,0.3957807713416264,391.3133154902587,461.283761085612,260.9136165942538,518.9977828539236,0.752755150907117,0.7689776185237507,0.7597439177023785,0.7688961000613574,5.464252317920845,5.418424060385618,5.380534799771242,5.431713394956266,0.9774696150938554,0.9734955116328755,0.9849775512960568,0.9701793736119301,2
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica54_vertical_90.jpg,0.1828091897643355,0.007271115810348268,0.00019215735767503142,2.981668684158459e-05,2.239225411997602e-09,2.4972458705726986e-06,2.821183281551053e-10,657.2102389335632,165.56825600986457,21530.0,0.39853041684268364,0.39613577344911993,0.4002918881166362,0.3957561218480728,370.06212780206096,441.97242004826364,254.2707594513928,492.26588954568604,0.7523456433917292,0.7702881509320891,0.7597212912588805,0.7675098534952756,5.456398613707567,5.3964967385500655,5.3744675539323925,5.4322166987368545,0.9788109629671173,0.9747453229078546,0.9854409513062186,0.9718715116146956,2
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica55_horizontal_0.jpg,0.19576382405224585,0.012838679926991569,1.413059326554135e-05,2.0136238252636983e-06,1.0210372630562556e-11,2.073977558709262e-07,3.3345107531289303e-12,616.2985513210297,159.6646553395191,20022.0,0.4334998465435736,0.42884647494245587,0.43142034720066974,0.4290175752276358,167.47427233191613,406.14445041646536,332.93158246914925,403.86246976609755,0.7629781410123392,0.7652210741642209,0.7435435513546862,0.7615338365320714,5.049971797144924,5.1848744315362545,5.232181248740234,5.2168584212095634,0.9895439554610613,0.9747016994685913,0.9792138374077067,0.9748438415863482,2
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica55_horizontal_270.jpg,0.19653622877127136,0.013037761575717307,1.8317890449766935e-05,2.9492371008847886e-06,2.155388987027702e-11,3.2945288220253114e-07,2.308426757821938e-12,671.4112498760223,159.34535763902448,19942.0,0.43220350076999825,0.4299292433957362,0.4345040797803952,0.4294531438907211,330.2849782536902,399.6639008330261,167.90896620946555,400.5709150765133,0.7430739383620997,0.7619923434839251,0.7638052267127466,0.7638345556340237,5.21855660269606,5.204818077881523,5.02564653102421,5.1848825292825405,0.9792937524288738,0.9750026662054926,0.989473440051288,0.9749459361937224,2
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica55_horizontal_90.jpg,0.19504978829350345,0.012555729238945818,1.811580793111733e-05,2.5505131545821925e-06,1.6110634795036242e-11,2.47023826003223e-07,6.404204364665339e-12,604.7422009706497,159.18346898954943,19901.5,0.4342275654485761,0.43178165942536,0.4364216730164974,0.4317614821682573,343.3161927066922,428.16584923397636,174.77116092341936,408.9061072291438,0.7483877581935259,0.7657375999518959,0.7676732284579986,0.7677853335870798,5.19005632995937,5.173926428143211,5.007271799135737,5.143418125562264,0.9786879625950502,0.9734826523558602,0.9891507316053483,0.9746754548065755,2
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica55_original_0.jpg,0.19509667242341863,0.012580211023878752,2.0110533729983894e-05,2.8731519268454488e-06,2.061586298740639e-11,2.8644479194173274e-07,-7.208697261560468e-12,581.2863574028015,159.05944289371837,19870.5,0.43749347501582014,0.4327623891147865,0.43522931592855846,0.43283422631734014,173.69819337574444,430.4522641761941,342.3947808632667,405.37852727751726,0.7670832337717736,0.7631505885317373,0.7472756929957366,0.7679597306011037,4.9999831615996335,5.172779408494874,5.183642294104442,5.137308051049396,0.9892749870975159,0.973483622126907,0.978858798867537,0.9750281945165116,2
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica55_original_270.jpg,0.1952474955282963,0.012621617588279628,2.003706970291728e-05,2.903153451444709e-06,2.0838577776580677e-11,2.8850652638259846e-07,-7.485565061700414e-12,595.5706317424774,159.42324539486376,19961.5,0.4330748250166524,0.4306064725103088,0.4351788452385795,0.43067404921075736,310.5488123118954,379.78016662180227,159.5075276012344,380.9459150765103,0.7424790157444693,0.7622789538185566,0.763938068345011,0.7621177805799969,5.211366501454875,5.181099741467991,5.015661591799976,5.193859110016525,0.9805334704514961,0.9762491993201834,0.9900013850442895,0.9761762954099098,2
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica55_original_90.jpg,0.1958022554069691,0.012862687875022682,1.118808343399763e-05,1.4345393672486937e-06,5.124014639037602e-12,1.3200082513457942e-07,-2.602556020166821e-12,607.327988743782,159.84796271377763,20068.0,0.4305310914193987,0.42801780608892703,0.4326513598821695,0.4280176875966577,327.1350953497132,398.0127317924358,163.9088323854462,400.0504568663363,0.7456274382750608,0.7655463876168301,0.7648167582591274,0.7647294489928679,5.235062873580029,5.192246839251925,5.055124702173969,5.212339288981733,0.9795065305182806,0.9751240678649901,0.9897318853830539,0.9749967093495477,2
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica55_vertical_0.jpg,0.19533190045058718,0.01264309264720415,1.995825354492375e-05,2.8983377389773415e-06,2.090188299253079e-11,2.9298334543816705e-07,7.002612844218959e-12,609.7127652168274,159.52304586124643,19986.5,0.43443755085158026,0.4297790186256414,0.43229228496599975,0.4299789225455542,163.43439277353252,388.7502351517626,318.2198059552575,385.58586401496717,0.7642104518422408,0.7636247868878032,0.7439881067208992,0.7628467375638743,5.0191351527803665,5.184838130625895,5.214528556057076,5.194837201992355,0.98977783500229,0.9757417513083718,0.9800966289480856,0.9759392099721822,2
C:\Users\USER\Desktop\Selected Perogram\Preproses\Tahap B\Bruguiera cylindrica\Bruguiera_cylindrica55_vertical_270.jpg,0.19504978829350345,0.012555729238945818,1.811580793111733e-05,2.5505131545821925e-06,1.6110634795036242e-11,2.47023826003223e-07,6.404204364665339e-12,604.7422009706497,159.18346898954943,19901.5,0.4342275654485761,0.43178165942536,0.4364216730164974,0.4317614821682573,343.3161927066922,428.16584923397636,174.77116092341936,408.9061072291438,0.7483877581935259,0.7657375999518959,0.7676732284579986,0.7677853335870798,5.19005632995937,5.173926428143211,5.007271799135737,5.143418125562264,0.9786879625950502,0.9734826523558602,0.9891507316053483,0.9746754548065755,2
